Lab,Target,SamName,isCtrl,isCalib,Replicate,dPCR,Raw.Value,Experiment
Biogazelle,E2:N,s06,FALSE,FALSE,3,FALSE,21.25612707,2
Biogazelle,E2:N,s06,FALSE,FALSE,4,FALSE,21.26251607,2
Biogazelle,E2:N,s07,FALSE,FALSE,1,FALSE,28.27472478,2
Biogazelle,E2:N,s07,FALSE,FALSE,2,FALSE,28.04156131,2
Biogazelle,E2:N,s07,FALSE,FALSE,3,FALSE,27.66731714,2
Biogazelle,E2:N,s07,FALSE,FALSE,4,FALSE,28.12178527,2
Biogazelle,E2:N,s08,FALSE,FALSE,1,FALSE,27.36492422,2
Biogazelle,E2:N,s08,FALSE,FALSE,2,FALSE,26.82509236,2
Biogazelle,E2:N,s08,FALSE,FALSE,3,FALSE,27.07784377,2
Biogazelle,E2:N,s08,FALSE,FALSE,4,FALSE,27.11625077,2
Biogazelle,E2:N,s09,FALSE,FALSE,1,FALSE,28.4020925,2
Biogazelle,E2:N,s09,FALSE,FALSE,2,FALSE,29.87838352,2
Biogazelle,E2:N,s09,FALSE,FALSE,3,FALSE,29.39530556,2
Biogazelle,E2:N,s09,FALSE,FALSE,4,FALSE,29.33636898,2
Biogazelle,E2:N,s10,FALSE,FALSE,1,FALSE,29.97778368,2
Biogazelle,E2:N,s10,FALSE,FALSE,2,FALSE,30.0731128,2
